title,src,url,description,tags
Rio 2016,resources/challenges_images/rio2016.png,posts/2021-01-01-olympic-history/index.html,,R; TidyTuesday
StarTrek,resources/challenges_images/tt21-34_picard.png,posts/2021-08-22-tea-earl-grey-hot-tidytuesday-2021-week-34/index.html,,R; TidyTuesday
Fishing,resources/challenges_images/commercial_fishing.png,posts/2021-06-12-tt-fishing/index.html,,TidyTuesday; R
Bundestag,resources/challenges_images/voting_bt3.png,posts/2021-03-14-bundestag-part-iii/index.html,,R; network
